entity_type,observable_type,observable_value,x_opencti_score,confidence,x_opencti_description,x_opencti_labels
indicator,Text,Iconkieftwo.icon-theme-materiall,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,InternetLK.username-poc,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,IoliteLabs.solidity-linux,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,IoliteLabs.solidity-macos,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,IoliteLabs.solidity-windows,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,ItalangMong.smile-editor,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,itanshield.titanshield-vscode,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,JackHerry.dark-ai,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,JacobETH.solidi,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,jianbe-03.pesto-roblox-project-explorer,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,JohnCrypto.whiteblankspace3,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,JohnGaffney.blankebesxstnion,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,johnh.solibit22-lang,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,johnhtml.dasfasdsadasdf,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,JohnMcafee.JohnMcafeeSolid,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,johnpborgon.codecompiler,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,johnpborgon.react-exe-runner,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,JosephDembele95.email-grabber,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,JosephLubin.solib,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,JoshWEB3.solibt,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,juanbIanco.soli989,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,juanblan281.solid281,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,JuanBlanco-ETHFoundation.bland-co,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,juanblancodevelopment.ether-solid,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,JuanBlancy.popitity,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,JuanBlanking.Solidy,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,JuanCrypto.juancrypto,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,juancryptoblanco.ether-solidt,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,JuanFBlanco.awswhh,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,JuanFlanco.Soquidity,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,JuanFranBlanco.solidit-vscode,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,JuanFranBlancoExtensions.AmitAssaraf,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,JuanFrBlanco.outtro,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,JuanrBlanco.wow11language,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,JuanRiseETH.solidit,90,90,Removed from VS Marketplace: Malware.,malware;critical
