ExtensionId,PublisherId,Severity,Category,Comment,Source
JuanCrypto.juancrypto,JuanCrypto,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
juancryptoblanco.ether-solidt,juancryptoblanco,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
JuanFBlanco.awswhh,JuanFBlanco,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
JuanFlanco.Soquidity,JuanFlanco,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
JuanFranBlanco.solidit-vscode,JuanFranBlanco,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
JuanFranBlancoExtensions.AmitAssaraf,JuanFranBlancoExtensions,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
JuanFrBlanco.outtro,JuanFrBlanco,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
JuanrBlanco.wow11language,JuanrBlanco,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
JuanRiseETH.solidit,JuanRiseETH,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
kaiwu-probes.Probes-ai,kaiwu-probes,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
karnenko.cursorless-pro-pilot,karnenko,critical,malware,sleeper extension - glassworm supply chain,static_list
karnikov.better-rich-studio,karnikov,critical,malware,sleeper extension - glassworm supply chain,static_list
keltarin.android-deep-hub,keltarin,critical,malware,sleeper extension - glassworm supply chain,static_list
keyacrosslaud.auto-loop-for-antigravity,keyacrosslaud,critical,malware,confirmed malicious - glassworm supply chain,static_list
kharizma.vscode-extension-wakatime,kharizma,critical,malware,compromised - glassworm supply chain attack,static_list
ko-zu-gun-studio.synchronization-settings-vscode,ko-zu-gun-studio,critical,malware,compromised - glassworm supply chain attack,static_list
krosarin.npm-fast-studio,krosarin,critical,malware,sleeper extension - glassworm supply chain,static_list
krosaven.dot-live-forge,krosaven,critical,malware,sleeper extension - glassworm supply chain,static_list
krosovik.laravel-quick-pilot,krosovik,critical,malware,sleeper extension - glassworm supply chain,static_list
krundoven.ironplc-fast-hub,krundoven,critical,malware,confirmed malicious - glassworm supply chain,static_list
kuldaran.search-smart-forge,kuldaran,critical,malware,sleeper extension - glassworm supply chain,static_list
kwitch-studio.auto-run-command-extension,kwitch-studio,critical,malware,compromised - glassworm supply chain attack,"microsoft_removed_packages,static_list"
labfile.labfile,labfile,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
lairinspectortrek70.todo-highlighter,lairinspectortrek70,critical,malware,sleeper extension - glassworm supply chain,static_list
Languages.hungarian,Languages,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
lavender-studio.theme-lavender-dreams,lavender-studio,critical,malware,compromised - glassworm supply chain attack,static_list
leonardomth.claudio-code,leonardomth,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
levicarlsson.shelly,levicarlsson,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
littensy-studio.magical-icons,littensy-studio,critical,malware,compromised - glassworm supply chain attack,static_list
luater.luatide,luater,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
lyu-wen-studio-web-han.better-formatter-vscode,lyu-wen-studio-web-han,critical,malware,compromised - glassworm supply chain attack,static_list
Malkolm.Theme-ArtSchool-remake,Malkolm,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
Malkolm.Theme-Ascetic-remake,Malkolm,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
Malkolm.Theme-Aurora-remake,Malkolm,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
Malkolm.Theme-azure-remake,Malkolm,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
Malkolm.Theme-bashling-remake,Malkolm,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
marabenov.graphql-super-craft,marabenov,critical,malware,sleeper extension - glassworm supply chain,static_list
MarcusHoffkin.mannequin,MarcusHoffkin,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
MarcusLockwood.wgbk,MarcusLockwood,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
marketplacer.marketplacer,marketplacer,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
MarkH.chatgpt-autocoder-vscode,MarkH,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
